grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2023/1,ECRET,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena",2023/ECRET/01,4968,2023,Portugal,European Centre for Returns,European Centre for Returns
2023/2,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,40359,2023,Poland,European Centre for Returns,European Centre for Returns
2023/3,ECRET,Police,"Stefanova 2, 1501 Ljubljana, Slovenia",2023/ECRET/01,15424,2023,Slovenia,European Centre for Returns,European Centre for Returns
2023/4,ECRET,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,1026165,2023,Sweden,European Centre for Returns,European Centre for Returns
2023/5,ECRET,Department of Federal Immigration (Dienst Vreemdelingenzaken),"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,91776,2023,Belgium,European Centre for Returns,European Centre for Returns
2023/6,ECRET,Comisaría General de Extranjería y Fronteras,"C/ General Pardiñas 90 bis, 28006, Madrid",2023/ECRET/01,1496478,2023,Spain,European Centre for Returns,European Centre for Returns
2023/7,ECRET,Federal Ministry of Interior,"Modecenterstraße 22, A-1030 Vienna, Austria",2023/ECRET/01,303300,2023,Austria,European Centre for Returns,European Centre for Returns
2023/12,ECRET,National Directorate-General for Aliens Policing,"1117 Budapest, Budafoki str. 60, Hungary",2023/ECRET/01,11614,2023,Hungary,European Centre for Returns,European Centre for Returns
2023/13,ECRET,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/ECRET/01,3136754,2023,Italy,European Centre for Returns,European Centre for Returns
2023/14,ECRET,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2023/ECRET/01,19891,2023,Slovakia,European Centre for Returns,European Centre for Returns
2023/15,ECRET,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2023/ECRET/01,173821,2023,Finland,European Centre for Returns,European Centre for Returns
2023/22,ECRET,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/ECRET/01,202356.25,2023,Norway,European Centre for Returns,European Centre for Returns
2023/23,ECRET,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/ECRET/01,197362.29,2023,Estonia,European Centre for Returns,European Centre for Returns
2023/24,ECRET,Finnish National Police Board,"Asemapäällikönkatu 14, 00521 Helsinki, Finland",2023/ECRET/01,215381.24,2023,Finland,European Centre for Returns,European Centre for Returns
2023/25,ECRET,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,242556.55,2023,Sweden,European Centre for Returns,European Centre for Returns
2023/26,ECRET,Swedish Police Authority,"106 75 Stockholm
Sweden",2023/ECRET/01,364096.9,2023,Sweden,European Centre for Returns,European Centre for Returns
2023/27,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,148187.69,2023,Poland,European Centre for Returns,European Centre for Returns
2023/28,ECRET,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/ECRET/01,176347.62,2023,Poland,European Centre for Returns,European Centre for Returns
2023/29,ECRET,Belgian Immigration Office,"Pachecolaan 44, 1000 Brussels – Belgium",2023/ECRET/01,228747.02,2023,Belgium,European Centre for Returns,European Centre for Returns
2023/32,ECRET,Civil Registry and Migration Department (CRMD),"90 Archbishop Makarios,
III Avenue, 1077 Nicosia, Cyprus",2023/ECRET/01,146612,2023,Cyprus,European Centre for Returns,European Centre for Returns
2023/33,ECRET,"Ministère de l'intérieur, Direction générale des étrangers en France","Place Beauvau 75800 PARIS Cedex 8, France",2023/ECRET/01,453271,2023,France,European Centre for Returns,European Centre for Returns
2023/34,ECRET,Federal Police Regional Office Koblenz,"Roonstraße 13, 56068 Koblenz",2023/ECRET/01,8520000,2023,Germany,European Centre for Returns,European Centre for Returns
2023/35,ECRET,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2023/ECRET/01,249118.1,2023,Netherlands,European Centre for Returns,European Centre for Returns
2023/36,ECRET,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic",2023/ECRET/01,24212,2023,Czech Republic,European Centre for Returns,European Centre for Returns
2023/37,ECRET,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/ECRET/01,79833,2023,Lithuania,European Centre for Returns,European Centre for Returns
2023/38,ECRET,Patrol Police Department,"Noe Ramishvili st. 38, 0190 Tbilisi, Georgia",2023/ECRET/01,13910,2023,Georgia,European Centre for Returns,European Centre for Returns
2023/39,ECRET,Danish Return Agency,"Birkerød Kongevej 2, DK-3460 Birkerød, Denmark",2023/ECRET/01,38499,2023,Denmark,European Centre for Returns,European Centre for Returns
