grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/4,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,461344,2024,Technical Equipment,Field Operations Unit
2024/5,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,1479671,2024,Technical Equipment,Field Operations Unit
2024/9,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,464326,2024,Technical Equipment,Field Operations Unit
2024/18,FOU,Sweden,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2024/FOU/01/Heavy Technical Equipment,572410,2024,Technical Equipment,Field Operations Unit
2024/19,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,351005,2024,Technical Equipment,Field Operations Unit
2024/26,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/FOU/01/Heavy Technical Equipment,591542,2024,Technical Equipment,Field Operations Unit
2024/43,FOU,Estonia,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2024/FOU/01/Heavy Technical Equipment,167042,2024,Technical Equipment,Field Operations Unit
2024/58,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2024/FOU/01/Heavy Technical Equipment,618129,2024,Technical Equipment,Field Operations Unit
2024/70,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2024/FOU/01/Heavy Technical Equipment,550533,2024,Technical Equipment,Field Operations Unit
2024/72,FOU,Iceland,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2024/FOU/01/Heavy Technical Equipment,819438,2024,Technical Equipment,Field Operations Unit
2024/75,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,186339,2024,Technical Equipment,Field Operations Unit
2024/82,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,861878,2024,Technical Equipment,Field Operations Unit
2024/83,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2024/FOU/01/Heavy Technical Equipment,1633956,2024,Technical Equipment,Field Operations Unit
2024/91,FOU,Luxembourg,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2024/FOU/01/Heavy Technical Equipment,1676566,2024,Technical Equipment,Field Operations Unit
2024/110,FOU,Bulgaria,Bulgarian Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2024/FOU/01/Heavy Technical Equipment,766638,2024,Technical Equipment,Field Operations Unit
2024/111,FOU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2024/FOU/01/Heavy Technical Equipment,500420,2024,Technical Equipment,Field Operations Unit
2024/113,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,1564296,2024,Technical Equipment,Field Operations Unit
2024/121,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,39509,2024,Technical Equipment,Field Operations Unit
2024/122,FOU,Portugal,Portuguese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2024/FOU/01/Heavy Technical Equipment,2424480.01,2024,Technical Equipment,Field Operations Unit
2024/127,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,809334,2024,Technical Equipment,Field Operations Unit
2024/136,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,63758,2024,Technical Equipment,Field Operations Unit
2024/141,FOU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/FOU/01/Heavy Technical Equipment,272275,2024,Technical Equipment,Field Operations Unit
2024/142,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,80342,2024,Technical Equipment,Field Operations Unit
2024/145,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/FOU/01/Heavy Technical Equipment,9339,2024,Technical Equipment,Field Operations Unit
2024/152,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/FOU/01/Heavy Technical Equipment,512879,2024,Technical Equipment,Field Operations Unit
2024/153,FOU,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2024/FOU/01/Heavy Technical Equipment,523487,2024,Technical Equipment,Field Operations Unit
2024/166,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,392741,2024,Technical Equipment,Field Operations Unit
2024/170,FOU,Poland,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2024/FOU/01/Heavy Technical Equipment,372249,2024,Technical Equipment,Field Operations Unit
2024/171,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,509887,2024,Technical Equipment,Field Operations Unit
2024/176,FOU,Lithuania,State Border Guard Service Lithuania,"Savanorių Pr. 2, Vilnius LT-03116, Lithuania",2024/FOU/01/Heavy Technical Equipment,823491,2024,Technical Equipment,Field Operations Unit
2024/177,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2024/FOU/01/Heavy Technical Equipment,598618,2024,Technical Equipment,Field Operations Unit
2024/179,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,191163,2024,Technical Equipment,Field Operations Unit
2024/180,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2024/FOU/01/Heavy Technical Equipment,307213,2024,Technical Equipment,Field Operations Unit
2024/181,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2024/FOU/01/Heavy Technical Equipment,32372,2024,Technical Equipment,Field Operations Unit
2024/184,OSD,Italy,Guardia Costiera,"Lisbon, Portugal",2024/FOU/01/Heavy Technical Equipment,157276,2024,Technical Equipment,Operational Support Division
2024/187,OSD,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2024/FOU/01/Heavy Technical Equipment,195003,2024,Technical Equipment,Operational Support Division
2024/188,OSD,France,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2024/FOU/01/Heavy Technical Equipment,138667.59,2024,Technical Equipment,Operational Support Division
